job_id,title,employer,location,region,classification,selection_reason,boundary_review,service_admin_overlap,campaign_key,campaign_representative
23643_225515951,Customer Success Executive,GlobalData UK Ltd,City,London,CUSTOMER_SALES,customer/service role with sales evidence: upsell,False,False,fd19db8e75efd223,True
f52351f4-c6e4-44f5-9240-3578866b4c12,Marketing and Business Development Executive,Birchrose Associates,Not Specified,London,DIRECT_SALES,sales-led title: business development executive,False,False,1073247c7d48c06a,True
107835574,Telesales Executive,Brook Street UK,City,London,DIRECT_SALES,"sales-led title: sales executive, telesales",False,False,617349c1cfd67c82,True
04cd2bad-6518-4380-a200-df5a10ef38c6,Graduate Business Development Executive,Celsius Graduate Recruitment Limited,Not Specified,London,DIRECT_SALES,sales-led title: business development executive,False,False,c907b3d16e87ae2b,True
23643_225194717,Business Development Executive,Cure Talent Ltd,Not Specified,London,DIRECT_SALES,sales-led title: business development executive,False,False,4b9dc4727e27e7d1,True
23643_225194773,Business Development Executive,Cure Talent Ltd,City,London,DIRECT_SALES,sales-led title: business development executive,False,False,4b9dc4727e27e7d1,False
20279_61775-714afb01ebf3664bdb0febe6b0f96c3d,Sales Advisor,EE,City,London,DIRECT_SALES,sales-led title: sales advisor,False,False,3bc6036e1c0070e9,False
20279_61897-714afb01ebf3664bdb0febe6b0f96c3d,Sales Advisor - Part Time,EE,City,London,DIRECT_SALES,sales-led title: sales advisor,False,False,c8f9bfef5d88c0f7,True
20279_61775-3fb52e8ffb53f69992f313179317e2cb,Sales Agent,EE,City,London,DIRECT_SALES,sales-led title: sales agent,False,False,3bc6036e1c0070e9,False
20279_60790-4b19af7798ce6842b69ea938e45d303f,Sales Representative,EE,City,London,DIRECT_SALES,sales-led title: sales representative,False,False,05ee55427a44ff44,False
20279_61775-7eec87a0c00a7c487fb28dbb3484fe04,Sales Representative,EE,City,London,DIRECT_SALES,sales-led title: sales representative,False,False,3bc6036e1c0070e9,False
b40d2063-966a-4eca-9262-3829f03ad16e,Business Development Executive,Intretech,Not Specified,London,DIRECT_SALES,sales-led title: business development executive,False,False,cd4f2171bd4ddc80,True
23643_225044734,Wholesale Sales Executive for Luxurious Fashion Apparel,JAC Recruitment,Not Specified,London,DIRECT_SALES,sales-led title: sales executive,False,False,f4ac72bc8b075211,True
23643_225364181,Media Sales Executive,Lipton Media,Not Specified,London,DIRECT_SALES,sales-led title: sales executive,False,False,d677a8d7d5e28f82,True
23643_225403423,Graduate Media Sales Executive,Monroe & Chase,Not Specified,London,DIRECT_SALES,sales-led title: sales executive,False,False,b916a40e2e6e146e,True
ab1dadc2-a539-43e2-8bf5-e328e49052bb,Security Sales Executive - Security Manned Guarding- London,Newton Colmore Consulting Ltd,Not Specified,London,DIRECT_SALES,sales-led title: sales executive,False,False,eafb588d2cf5fb58,True
4b64215e-9e6d-4ca0-bae6-b756e99874bf,Part Time Telemarketing Temp Events,Office Angels,Twickenham,London,DIRECT_SALES,sales-led title: telemarketing,False,False,95feccbe1176345a,True
23643_225472975,Part-Time Sales Executive - EV Car Chargers,Office Angels,City,London,DIRECT_SALES,sales-led title: sales executive,False,False,408d26de79508724,True
23643_225478155,Internal Sales,Options Resourcing Ltd,City,London,DIRECT_SALES,sales-led title: internal sales,False,False,aa440f7626117f11,True
c1ccfd51-0220-4afe-bb71-2087508de0d6,Sales Executive,Parkside Office Professional,Not Specified,London,DIRECT_SALES,sales-led title: sales executive,False,False,eb9b65563846d664,True
1651379,Sales Executive,The Talent Set,Not Specified,London,DIRECT_SALES,sales-led title: sales executive,False,False,cdf504ecf916bb74,True
3d84b654-afab-4754-a2f7-cd3bb7179fd2,Business Development Executive,Tony Alan Recruitment,Not Specified,London,DIRECT_SALES,sales-led title: business development executive,False,False,820d3dcaafe191cf,True
548b583a-1933-4b65-bdfd-039b37fc0a5b,Business Development Executive,Upgrade Recruitment Ltd,Not Specified,London,DIRECT_SALES,sales-led title: business development executive,False,False,b3f70e9ece2898a8,True
107792817,Luxury Sales Consultant,Zachary Daniels,City,London,DIRECT_SALES,sales-led title: sales consultant,False,False,0b4fe411787d1660,True
23643_225489841,B2B Sales Executive,Zachary Daniels Recruitment,Not Specified,London,DIRECT_SALES,sales-led title: sales executive,False,False,67f55219700b29ae,True
ff9f5bdd-cb7a-44dc-81c5-be214519b7b2,Sales Executive / Account Manager,ALH Recruitment Ltd,King's Lynn,Norfolk,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,ded782e1cde906fb,True
3122a3ed-db4e-4686-9d89-961fdb5641b2,Customer Account Manager,Zero Surplus,King's Lynn,Norfolk,CONDITIONAL_ACCOUNT_SALES,account-based title with sales and office/digital evidence,True,False,0d6a7b5906716b21,True
a0ca396e-d60d-430e-9825-955b9a01f863,Sales Advisor,ALH Recruitment Ltd,King's Lynn,Norfolk,DIRECT_SALES,sales-led title: sales advisor,False,False,3b73cdf28388e79b,True
dfa2ccf7-17b8-4ab8-8f84-068d14afa090,Sales Executive,First City Recruitment Ltd,King's Lynn,Norfolk,DIRECT_SALES,sales-led title: sales executive,False,False,c9365b4a516b9603,True
c3f7f19c-a0fb-4730-9d98-0ad3cd9a0faa,Media Sales Executive,Service Service Employment Agency Limited,Norwich,Norfolk,DIRECT_SALES,sales-led title: sales executive,False,False,f0d304e9fdfeabd3,True
20279_61775-deab967b99c6e63d0dd459a12179664a,Call Centre Agent,EE,Gateshead,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,f55b9a88e9443e86,False
20279_61775-8bb4b73a68aaaf346f4a919e26e44f12,Call Centre Agent,EE,Wallsend,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,True,f55b9a88e9443e86,False
20279_61775-33210dbc92626a35bffe42114b330ff3,Call Centre Agent,EE,South Shields,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,True,f55b9a88e9443e86,False
20279_61775-20fc350b6789c39cd18ccac91ac57148,Call Centre Agent,EE,North Shields,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,True,f55b9a88e9443e86,False
20279_61775-14ed80d091f0fb71e92c86010d5a3182,Call Centre Agent,EE,Whitley Bay,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,True,f55b9a88e9443e86,False
20279_61775-0dc834e990c9af3799011e2ebb0fc687,Call Centre Operator,EE,South Shields,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,f55b9a88e9443e86,False
20279_61775-bbd8f3ecb6935e720a2d5c3d16688989,Call Centre Operator,EE,Washington,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,True,f55b9a88e9443e86,False
20279_61775-5eabb6aaa6c5dac84023535f868d0408,Call Centre Operator,EE,Gateshead,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,True,f55b9a88e9443e86,False
20279_61775-73862c8b83139033e4e4a8b6efca9a33,Call Centre Operator,EE,Newcastle Upon Tyne,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,True,f55b9a88e9443e86,False
20279_61775-d24d3d6916a209e15b1680693740da2f,Contact Centre Agent,EE,Newcastle Upon Tyne,North East,CUSTOMER_SALES,"customer/service role with sales evidence: commission, uncapped commission, cold calling",False,False,f55b9a88e9443e86,False
