decision,region,title,manual_override,manual_select,remaining_slots,selection_status,possible_selection_rank,town,title_classification,selection_scenario,employment_type,salary_text,salary_source,salary_review_status,annual_salary_upper,regional_salary_review_point,geo_source,description_preview,context_policy,context_status,context_reason,title_priority,review_status,classification_reason,reason,apply_url_present,job_id,description_present,excel_row,region_selection_message
SELECTED,"North East - Tyneside, Wearside & Northumberland",Complex Care Assistant,,,,SELECTED,,Houghton Le Spring,ELASTIC_FIT,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Contract,£14.24 per hour,structured,ok,27768.0,30000.0,area,Routes Healthcare does not offer sponsorship Female Complex Care Assistant Chester-le-Street £14.24 per hour (including holiday pay)+Fully funded Enhanced DBS and guaranteed hours available after successful probation Shifts :Part-time - 5h evening shifts 4 PM -9 PM + 6h Saturday day shift About the Role Routes Healthcare is seeking a Female Complex...,,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: complex care,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: complex care,yes,107810260,yes,2371,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,"North East - Tyneside, Wearside & Northumberland",Enabling Support Worker,,,,SELECTED,,Rowlands Gill,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Permanent,£12.75 per hour,structured,ok,24862.5,30000.0,area,"Enabling Support Worker Location: Gateshead, Rowlands Gill Salary: £12.75 per hour Vacancy Type: Permanent, Full Time (40 hours per week) Are you the candidate we are looking for? At Shaftesbury Rowlands Gill we are recruiting for Enabling Support Workers. Please note this role does not qualify for visa sponsorship, as the salary requirements set b...",,ok,,1,STABLE,high-confidence title pattern: support worker,title classification: HIGH_CONFIDENCE - high-confidence title pattern: support worker,yes,f6fec1d6-1fe7-4f2f-895c-76cd05933697,yes,2481,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,"North East - Tyneside, Wearside & Northumberland",Care Assistant - Bank - Care Home,,,,SELECTED,,Hebburn,ELASTIC_FIT,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Permanent,£14.8 per hour,structured,ok,28860.0,30000.0,area,"ABOUT THE ROLEThis is a casual, part-time role offering flexible working. As a Bank Care Assistant at a Barchester care home, you'll help residents enjoy each day by making sure they get the quality care and support they deserve. You'll assist with daily living, providing support and companionship and sharing great moments and memories too. It's a...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: bank,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: bank,yes,8f7a6b8c-ba2a-4359-bd59-869ba3fbafdb,yes,2503,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,"North East - Tyneside, Wearside & Northumberland",Female Enabling Support Worker,,,,SELECTED,,Ryton,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Permanent,£12.75 per hour,structured,ok,24862.5,30000.0,area,"Female Enabling Support Worker Location: Crawcrook, Gateshead Salary: £12.75 per hour Vacancy Type: Permanent, Full Time (40 hours per week) Are you the candidate we are looking for? At Shaftesbury Crawcrook we are recruiting for Enabling Support Workers. Due to service requirements, only female candidates will be considered. Please note this role...",,ok,,1,STABLE,high-confidence title pattern: support worker,title classification: HIGH_CONFIDENCE - high-confidence title pattern: support worker,yes,297c50e3-fd32-4f29-9de1-936c53932177,yes,2629,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
POSS - NE - Tyneside/Wearside/N'land,"North East - Tyneside, Wearside & Northumberland",Children Crisis Support Worker - Waking Nights,,,,POSSIBLE_SELECTION,1,Gateshead,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Contract,£17.50-£24.00 per hour,description_fallback,review,46800.0,30000.0,area,"Do you want to make a real difference? Become a Support Worker with Paragon Social Care! Ready to change a young person's life for the better? At Paragon Social Care, we're looking for passionate, caring, and resilient Children's Support Workers to join our team. Whether you have care experience or are looking for a rewarding new challenge, this is...",,ok,,1,STABLE,high-confidence title pattern: support worker,"manual review required: title classification: HIGH_CONFIDENCE - high-confidence title pattern: support worker; manual review required: annualised upper salary £46,800 exceeds regional review point £30,000",yes,05843b40-34ac-40a5-8f4c-e146dd6988e1,yes,264,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,North East - County Durham & Darlington/Hartlepool,Support Worker,,,,SELECTED,,Bishop Auckland,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Permanent,£13.15 per hour,structured,ok,25642.5,30000.0,area,Helping others improve and turn their lives around - there's no better feeling. It's what we do for thousands of people at more than 150 sites across the UK. Be a part of it. We are looking for confident Support Workers with a passion for delivering outstanding care. You'll be working 42 hours a week in Thornfield Grange with Adult with Learning Di...,,ok,,1,STABLE,title register: core Support Worker wording,title classification: HIGH_CONFIDENCE - title register: core Support Worker wording,yes,6b804bc2-d778-42ed-bf1b-d3ec78422d8a,yes,768,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,North East - County Durham & Darlington/Hartlepool,Support Worker,,,,SELECTED,,Darlington,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Permanent,£13.15 per hour,structured,ok,25642.5,30000.0,area,"Helping others improve and turn their lives around - there's no better feeling. It's what we do for thousands of people at more than 150 sites across the UK. Be a part of it. Looking for an exciting opportunity Look no further than Hollyhurst, where we are currently seeking dedicated support workers to join our team. Working 42 hours per week. We w...",,ok,,1,STABLE,title register: core Support Worker wording,title classification: HIGH_CONFIDENCE - title register: core Support Worker wording,yes,cc359452-7885-406f-b982-9931f062cd19,yes,894,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,North East - County Durham & Darlington/Hartlepool,Children and Young Persons Support Worker,,,,SELECTED,,County Durham,HIGH_CONFIDENCE,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Contract,£15 - £18 per hour (CONTRACT),structured,ok,35100.0,30000.0,location_fallback,"We offer high-quality, specialist care to some of the most disadvantaged and vulnerable children in society. Every young person in our care is supported by a team of experienced, empathetic staff within warm, welcoming homes. Our approach is built around emotional safety, trust, and consistent daily routines, helping children build confidence, deve...",,ok,,1,AGREED_2026-07-24,title register: Direct support for children and young people is eligible,title classification: HIGH_CONFIDENCE - title register: Direct support for children and young people is eligible,yes,107199247,yes,1217,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,North East - County Durham & Darlington/Hartlepool,Complex Care Assistant,,,,SELECTED,,Chester Le Street,ELASTIC_FIT,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Contract,£14.24 per hour,structured,ok,27768.0,30000.0,area,Routes Healthcare does not offer sponsorship Female Complex Care Assistant Chester-le-Street £14.24 per hour (including holiday pay)+Fully funded Enhanced DBS and guaranteed hours available after successful probation Shifts :Part-time - 5h evening shifts 4 PM -9 PM + 6h Saturday day shift About the Role Routes Healthcare is seeking a Female Complex...,,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: complex care,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: complex care,yes,107615864,yes,1453,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
SELECTED,North East - County Durham & Darlington/Hartlepool,Children's Residential Support Worker,,,,SELECTED,,Hartlepool,ELASTIC_FIT,SCENARIO_3_COMPLETE_WITH_OTHER_ELASTIC,Permanent,"£3,840 per year",description_fallback,ok,3840.0,30000.0,area,"£32,194 - £38,560 assuming good attendance and 1-2 sleep ins per month Those huge small victories Working in our Children's Homes means being a part of a young person's day to day life. This means being there for the highest highs and lowest lows. Our support workers enable our young people to get their childhood back and create pathways to become...",,ok,,2,STABLE,title register: demoted from HC in V10 cleanup: elastic modifier: residential,title classification: ELASTIC_FIT - title register: demoted from HC in V10 cleanup: elastic modifier: residential,yes,25362_JR104883-1,yes,1834,"North East selection complete: 17 selected after HIGH_CONFIDENCE, Newcastle Upon Tyne ELASTIC_FIT, and other ELASTIC_FIT roles."
