feed_date,region,family,selected_count
2026-09-07,Lancashire - Central,legal_assistant_paralegal,0
2026-09-07,Lancashire - Central,marketing,1
2026-09-07,Lancashire - Central,finance_accounts,0
2026-09-07,Lancashire - Central,hr_recruitment,0
2026-09-07,Lancashire - Central,customer_service_contact_centre,0
2026-09-07,Lancashire - East,service_admin,3
2026-09-07,Lancashire - East,support_worker,2
2026-09-07,Lancashire - East,customer_sales,0
2026-09-07,Lancashire - East,legal_assistant_paralegal,0
2026-09-07,Lancashire - East,marketing,3
2026-09-07,Lancashire - East,finance_accounts,0
2026-09-07,Lancashire - East,hr_recruitment,0
2026-09-07,Lancashire - East,customer_service_contact_centre,0
2026-09-07,Lancashire - North,service_admin,1
2026-09-07,Lancashire - North,support_worker,0
2026-09-07,Lancashire - North,customer_sales,1
2026-09-07,Lancashire - North,legal_assistant_paralegal,0
2026-09-07,Lancashire - North,marketing,0
2026-09-07,Lancashire - North,finance_accounts,0
2026-09-07,Lancashire - North,hr_recruitment,0
2026-09-07,Lancashire - North,customer_service_contact_centre,0
2026-09-07,Lancashire - West,service_admin,0
2026-09-07,Lancashire - West,support_worker,0
2026-09-07,Lancashire - West,customer_sales,1
2026-09-07,Lancashire - West,legal_assistant_paralegal,0
2026-09-07,Lancashire - West,marketing,0
2026-09-07,Lancashire - West,finance_accounts,0
2026-09-07,Lancashire - West,hr_recruitment,0
2026-09-07,Lancashire - West,customer_service_contact_centre,0
2026-09-07,Leicestershire,service_admin,24
2026-09-07,Leicestershire,support_worker,0
2026-09-07,Leicestershire,customer_sales,2
2026-09-07,Leicestershire,legal_assistant_paralegal,1
2026-09-07,Leicestershire,marketing,1
2026-09-07,Leicestershire,finance_accounts,3
2026-09-07,Leicestershire,hr_recruitment,0
2026-09-07,Leicestershire,customer_service_contact_centre,1
2026-09-07,Lincolnshire,service_admin,7
2026-09-07,Lincolnshire,support_worker,0
2026-09-07,Lincolnshire,customer_sales,4
2026-09-07,Lincolnshire,legal_assistant_paralegal,2
2026-09-07,Lincolnshire,marketing,2
2026-09-07,Lincolnshire,finance_accounts,1
2026-09-07,Lincolnshire,hr_recruitment,2
2026-09-07,Lincolnshire,customer_service_contact_centre,1
2026-09-07,London,service_admin,137
2026-09-07,London,support_worker,22
2026-09-07,London,customer_sales,46
2026-09-07,London,legal_assistant_paralegal,20
2026-09-07,London,marketing,59
2026-09-07,London,finance_accounts,7
2026-09-07,London,hr_recruitment,13
2026-09-07,London,customer_service_contact_centre,3
2026-09-07,Merseyside - Liverpool,service_admin,10
2026-09-07,Merseyside - Liverpool,support_worker,0
2026-09-07,Merseyside - Liverpool,customer_sales,0
