date,job_id,title,company,raw_area,raw_location,geo_source,category,source_file,unknown_reason
2026-07-23,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-23.xlsx,area_not_found_in_geo_lookup
2026-07-23,6b682222-60bb-42a2-8c5d-c6ca49d0735e,Administration Assistant,Future Engineering Recruitment Ltd,Not Specified,Lanarkshire,unknown,admin_service,2026-07-23.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-23,3b944583-ade2-4f67-9f55-d2facbe00066,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-23.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-23,b2b53db0-d99e-45e6-8029-10bd318fcd8f,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-23.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-23,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-23.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-23,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-23.xlsx,area_not_found_in_geo_lookup
2026-07-24,69fb8ebd-a87b-4da4-ad0f-52bf333ea3b6,Sales Administrator,YourRecruit,Coulsdon,Surrey,unknown,admin_service,2026-07-24.xlsx,area_not_found_in_geo_lookup
2026-07-24,84512d69-5110-4dec-9338-14657e8e0806,Temporary Administrator,Office Angels,Denny,Stirlingshire,unknown,admin_service,2026-07-24.xlsx,area_not_found_in_geo_lookup
2026-07-24,b27fd815-a1db-4017-980d-d1e2c04c05d5,Sales Administrator,Edwards & Pearce - Doncaster,Knottingley,Yorkshire,unknown,admin_service,2026-07-24.xlsx,area_not_found_in_geo_lookup
2026-07-24,6b682222-60bb-42a2-8c5d-c6ca49d0735e,Administration Assistant,Future Engineering Recruitment Ltd,Not Specified,Lanarkshire,unknown,admin_service,2026-07-24.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-24,3b944583-ade2-4f67-9f55-d2facbe00066,Financial Planning Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-24.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-24,b2b53db0-d99e-45e6-8029-10bd318fcd8f,Financial Services Administrator,Reed,Not Specified,Ayrshire,unknown,admin_service,2026-07-24.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-24,b7b72e3f-ead2-46e6-9c12-96f0eaa37203,Receptionist,Adecco,Not Specified,Lancashire,unknown,admin_service,2026-07-24.xlsx,area_unusable_and_location_not_auto_fallback
2026-07-24,d7e748b4-b368-4cf0-a8b4-cb3e5b600466,Customer Service Administrator,March Recruitment,West Molesey,Surrey,unknown,admin_service,2026-07-24.xlsx,area_not_found_in_geo_lookup
2026-07-25,639288c3-22b4-4a2f-a718-686b1e45db84,Sales Support Administrator,YourRecruit,Coulsdon,Surrey,unknown,admin_service,2026-07-25.xlsx,area_not_found_in_geo_lookup
