month,date,region,region_scope,category,daily_job_count
2026-08-post-expansion,2026-08-16,Greater Manchester - Wigan & Bolton,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-17,Greater Manchester - Wigan & Bolton,lookup_region,admin_service,3
2026-08-post-expansion,2026-08-11,Hampshire,lookup_region,admin_service,22
2026-08-post-expansion,2026-08-12,Hampshire,lookup_region,admin_service,22
2026-08-post-expansion,2026-08-14,Hampshire,lookup_region,admin_service,20
2026-08-post-expansion,2026-08-15,Hampshire,lookup_region,admin_service,20
2026-08-post-expansion,2026-08-16,Hampshire,lookup_region,admin_service,20
2026-08-post-expansion,2026-08-17,Hampshire,lookup_region,admin_service,22
2026-08-post-expansion,2026-08-11,Herefordshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-12,Herefordshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-14,Herefordshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Herefordshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Herefordshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Herefordshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,Hertfordshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-12,Hertfordshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-14,Hertfordshire,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-15,Hertfordshire,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-16,Hertfordshire,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-17,Hertfordshire,lookup_region,admin_service,7
2026-08-post-expansion,2026-08-11,Kent,lookup_region,admin_service,18
2026-08-post-expansion,2026-08-12,Kent,lookup_region,admin_service,20
2026-08-post-expansion,2026-08-14,Kent,lookup_region,admin_service,16
2026-08-post-expansion,2026-08-15,Kent,lookup_region,admin_service,14
2026-08-post-expansion,2026-08-16,Kent,lookup_region,admin_service,15
2026-08-post-expansion,2026-08-17,Kent,lookup_region,admin_service,16
2026-08-post-expansion,2026-08-11,Lancashire - Blackpool & Fylde,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-12,Lancashire - Blackpool & Fylde,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-14,Lancashire - Blackpool & Fylde,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Lancashire - Blackpool & Fylde,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-16,Lancashire - Blackpool & Fylde,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-17,Lancashire - Blackpool & Fylde,lookup_region,admin_service,0
2026-08-post-expansion,2026-08-11,Lancashire - Central,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-12,Lancashire - Central,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-14,Lancashire - Central,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Lancashire - Central,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Lancashire - Central,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Lancashire - Central,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,Lancashire - East,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-12,Lancashire - East,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-14,Lancashire - East,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Lancashire - East,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Lancashire - East,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Lancashire - East,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,Leicestershire,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-12,Leicestershire,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-14,Leicestershire,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-15,Leicestershire,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-16,Leicestershire,lookup_region,admin_service,6
2026-08-post-expansion,2026-08-17,Leicestershire,lookup_region,admin_service,5
2026-08-post-expansion,2026-08-11,Lincolnshire,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-12,Lincolnshire,lookup_region,admin_service,4
2026-08-post-expansion,2026-08-14,Lincolnshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Lincolnshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-16,Lincolnshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-17,Lincolnshire,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-11,London,lookup_region,admin_service,65
2026-08-post-expansion,2026-08-12,London,lookup_region,admin_service,70
2026-08-post-expansion,2026-08-14,London,lookup_region,admin_service,68
2026-08-post-expansion,2026-08-15,London,lookup_region,admin_service,69
2026-08-post-expansion,2026-08-16,London,lookup_region,admin_service,71
2026-08-post-expansion,2026-08-17,London,lookup_region,admin_service,75
2026-08-post-expansion,2026-08-11,Merseyside - Liverpool,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-12,Merseyside - Liverpool,lookup_region,admin_service,2
2026-08-post-expansion,2026-08-14,Merseyside - Liverpool,lookup_region,admin_service,1
2026-08-post-expansion,2026-08-15,Merseyside - Liverpool,lookup_region,admin_service,1
