month,region,region_scope,existing_live_page,recommendation,total_jobs,feed_days,days_seen,average_daily_count,maximum_daily_count,days_with_6_plus,unique_title_count,unique_company_count,unique_location_count,concentration_risk
2026-07,Flintshire,lookup_region,no,REJECT,1,31,8,0.26,1,0,1,1,1,HIGH
2026-07,Cumbria - South,lookup_region,no,REJECT,1,31,7,0.23,1,0,1,1,1,HIGH
2026-07,Greater Manchester - North,lookup_region,no,REJECT,3,31,5,0.23,2,0,2,2,2,HIGH
2026-07,West Sussex,lookup_region,no,REJECT,1,31,7,0.23,1,0,1,1,1,HIGH
2026-07,South West,lookup_region,no,REJECT,1,31,6,0.19,1,0,1,1,1,HIGH
2026-07,Gwynedd,lookup_region,no,REJECT,1,31,5,0.16,1,0,1,1,1,HIGH
2026-07,Cumbria - North,lookup_region,no,REJECT,1,31,4,0.13,1,0,1,1,1,HIGH
2026-07,Cumbria - West,lookup_region,no,REJECT,1,31,4,0.13,1,0,1,1,1,HIGH
2026-07,Caerphilly,lookup_region,no,REJECT,1,31,3,0.1,1,0,1,1,1,HIGH
2026-07,Herefordshire,lookup_region,no,REJECT,1,31,2,0.06,1,0,1,1,1,HIGH
2026-07,Scotland West - Renfrewshire & Inverclyde,lookup_region,no,REJECT,1,31,2,0.06,1,0,1,1,1,HIGH
2026-07,Wales South - Valleys,lookup_region,no,REJECT,1,31,1,0.03,1,0,1,1,1,HIGH
2026-07,Bristol & Bath,lookup_region,no,WATCH,23,31,31,7.42,13,21,19,19,2,LOW
2026-07,Greater Manchester - Manchester & Salford,lookup_region,no,WATCH,23,31,31,5.45,9,20,18,17,1,LOW
2026-07,Other / Unknown,lookup_region,no,WATCH,25,31,30,5.26,12,12,18,19,17,LOW
2026-07,Leicestershire,lookup_region,no,WATCH,17,31,31,5.19,8,13,11,13,6,LOW
2026-07,Yorkshire - North,lookup_region,no,WATCH,20,31,31,5.19,11,10,12,11,7,LOW
2026-07,West Midlands - Birmingham & Solihull,lookup_region,no,WATCH,20,31,31,5.06,9,14,12,16,2,LOW
2026-07,Berkshire,lookup_region,no,WATCH,15,31,24,4.71,10,14,12,13,6,LOW
2026-07,Yorkshire - South,lookup_region,yes,WATCH,16,31,31,4.71,11,14,13,13,3,LOW
2026-07,Gloucestershire,lookup_region,no,WATCH,16,31,30,4.39,8,14,11,8,7,MEDIUM
2026-07,Essex,lookup_region,no,WATCH,17,31,30,4.06,8,10,15,16,11,LOW
2026-07,Hertfordshire,lookup_region,no,WATCH,13,31,31,4.06,6,4,12,11,10,LOW
2026-07,Staffordshire,lookup_region,no,WATCH,15,31,31,4.0,7,7,11,13,6,LOW
2026-07,Wiltshire,lookup_region,no,WATCH,14,31,30,3.94,8,13,14,12,10,LOW
2026-07,Devon,lookup_region,no,WATCH,12,31,31,3.87,7,11,9,9,3,LOW
2026-07,Buckinghamshire,lookup_region,no,WATCH,22,31,31,3.74,11,8,12,19,9,LOW
2026-07,Scotland West - Glasgow,lookup_region,no,WATCH,15,31,23,3.55,9,7,10,10,1,LOW
2026-07,Oxfordshire,lookup_region,no,WATCH,12,31,24,3.42,8,10,8,9,5,MEDIUM
2026-07,"North East - Tyneside, Wearside & Northumberland",lookup_region,no,WATCH,12,31,31,3.35,6,3,9,11,6,LOW
2026-07,Northamptonshire,lookup_region,no,WATCH,12,31,26,3.35,7,11,12,11,5,LOW
2026-07,Greater Manchester - South,lookup_region,no,WATCH,11,31,31,3.29,9,7,8,9,3,LOW
2026-07,Suffolk,lookup_region,no,WATCH,16,31,31,3.23,6,3,12,9,6,LOW
2026-07,Cheshire - Warrington & Halton,lookup_region,no,WATCH,10,31,31,2.97,7,2,10,10,2,LOW
2026-07,Norfolk,lookup_region,no,WATCH,14,31,31,2.97,5,0,12,8,5,MEDIUM
2026-07,Cambridgeshire,lookup_region,no,WATCH,9,31,16,2.71,7,9,8,7,3,LOW
2026-07,East Midlands,lookup_region,no,WATCH,10,31,31,2.58,5,0,7,8,4,LOW
2026-07,Lincolnshire,lookup_region,no,WATCH,12,31,23,2.55,7,7,8,9,8,MEDIUM
2026-07,North East - County Durham & Darlington/Hartlepool,lookup_region,no,WATCH,9,31,22,2.39,8,6,8,8,4,LOW
2026-07,Northern Ireland - East,lookup_region,no,WATCH,11,31,14,2.35,10,8,9,8,6,LOW
2026-07,Scotland Central - Edinburgh & Lothians,lookup_region,no,WATCH,9,31,24,2.32,6,2,6,8,2,MEDIUM
2026-07,Greater Manchester - Wigan & Bolton,lookup_region,no,WATCH,6,31,16,2.16,6,5,6,5,2,MEDIUM
2026-07,Merseyside - Liverpool,lookup_region,no,WATCH,7,31,24,2.06,5,0,6,6,1,LOW
2026-07,Wales South - Cardiff & Vale,lookup_region,no,WATCH,8,31,30,2.06,5,0,5,8,1,LOW
2026-07,Northern Ireland - West,lookup_region,no,WATCH,11,31,21,2.0,8,6,8,6,6,LOW
2026-07,Worcestershire,lookup_region,no,WATCH,8,31,25,1.94,5,0,7,7,5,MEDIUM
2026-07,Cheshire - West,lookup_region,no,WATCH,10,31,24,1.81,5,0,10,8,4,MEDIUM
2026-07,Dorset,lookup_region,no,WATCH,9,31,26,1.65,5,0,7,8,3,LOW
2026-07,North Scotland,lookup_region,no,WATCH,9,31,20,1.58,3,0,4,8,5,HIGH
2026-07,Yorkshire - East,lookup_region,no,WATCH,5,31,30,1.58,3,0,5,4,1,HIGH
2026-07,Nottinghamshire,lookup_region,no,WATCH,10,31,28,1.45,3,0,8,8,3,LOW
2026-07,Bedfordshire,lookup_region,no,WATCH,7,31,19,1.26,4,0,6,7,5,LOW
2026-07,North Wales - East,lookup_region,no,WATCH,4,31,22,1.16,3,0,4,4,3,MEDIUM
2026-07,Somerset,lookup_region,no,WATCH,8,31,28,1.16,2,0,6,7,5,LOW
2026-07,Lancashire - East,lookup_region,no,WATCH,4,31,30,1.0,2,0,3,3,3,HIGH
2026-07,West Midlands - Black Country,lookup_region,no,WATCH,6,31,18,0.97,3,0,5,5,3,HIGH
2026-07,Highlands & Islands,lookup_region,no,WATCH,2,31,23,0.94,2,0,2,2,2,HIGH
2026-07,Shropshire,lookup_region,no,WATCH,5,31,19,0.81,2,0,3,4,2,HIGH
2026-07,Lancashire - Central,lookup_region,no,WATCH,6,31,17,0.77,3,0,4,5,3,MEDIUM
2026-07,"Dumfries & Galloway, Scotland",lookup_region,no,WATCH,1,31,19,0.61,1,0,1,1,1,HIGH
2026-07,North East - Tees Valley,lookup_region,no,WATCH,3,31,17,0.61,2,0,3,3,2,HIGH
2026-07,Derbyshire,lookup_region,no,WATCH,3,31,17,0.58,2,0,2,3,2,HIGH
