display_reference,title,area,location,ontap_geo_cluster,assessable_market,in_uk_market_universe,jobg8_classification,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_minimum_estimate,annualised_maximum_estimate,description_annualised_maximum_estimate,salary_evidence_source,salary_bucket,discovery_source,description_signal_count,description_signals,provisional_decision,provisional_reason,description_excerpt,content_dedupe_key,dedupe_key,is_duplicate,is_content_duplicate
107889344,"Head of Export Compliance, Helicopters UK",Yeovil,Somerset,Somerset,Somerset,YES,Banking & Financial Services,,,Annual,,,,missing,missing/unknown,TITLE,0,,BORDERLINE,mixed/ambiguous title requires advert-context review,"<p><strong>hackajob is partnering directly with Leonardo to hire for this role.</strong></p><p><b>Job Description:</b></p><p>Salary Range: £66,000- £90,000</p><p>Leonardo UK operates a grade-based salary framework with broad bands. The salary range shown reflects the approved grade band for this role, or a narrower hiring range published within that band, and is benchmarked against the external market click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?Yic9job4bS8SxJ08V76PezKUMS5afvDlc"" width=""0"" height=""0"" />",c83744c8f4e09ca0,ref:107889344,False,False
23643_225541116,Transport Service Desk Advisor,Wakefield,Yorkshire,Yorkshire - West,Yorkshire - West,YES,Call Centre / CustomerService,29000.00,30000.00,Annual,29000.0,30000.0,,structured,£25k–£30k,TITLE,0,,BORDERLINE,description-led family signal needs advert review,<p>Michael Page have just registered a new exciting Permanent Transport Service Desk Advisor Position in Wakefield to join a reputable company which hold a fantastic name within their market!</p><p>This would be an excellent oppportunity for someone experienced within customer services and administration looking to join a company which have lots of exciting plans and offer excellent development and growth!</p><p>Immediate interviews being held apply now!</p><p><strong>Client Details</strong></p><p>Michael Page have just registered a new exciting Permanent Transport Service Desk Advisor Position in Wakefield to join a reputable company which hold a fantastic name within their market!</p><p>Th,b38b997f07908d46,ref:23643_225541116,False,False
107890287,Export Legal Counsel,Not Specified,London,London,London,YES,Legal,100000.00,100000.00,Annual,100000.0,100000.0,,structured,">£45,000 OUT",TITLE,0,,OUT_SALARY,"annualised salary exceeds £45,000","<p><strong>hackajob is partnering directly with Google to hire for this role.</strong></p><p>As Corporate Counsel at Google, you work on the most exciting legal issues as disruptive technological innovations require creative and proactive legal guidance. You're part of a whip-smart group of in-house lawyers and the projects and cases you take on challenge you to think big and differently click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?1tcg6Aj2zazalnKGNOSw%2bQeTOvKJQ87tb"" width=""0"" height=""0"" />",74950ed7bd3e6e4f,ref:107890287,False,False
1401387096,Business Development Manager - Dairy Beef Supply Chain,Not Specified,Bristol,Other / Unknown,Other / Unknown,NO,I.T. & Communications,,,Annual,,,,missing,missing/unknown,TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"<p><strong>Do you have sales experience in the livestock sector and fancy taking the next step into procurement?</strong></p> <p>Join one of the UK's leading fully integrated dairy beef supply chains and become a key player in its continued growth. This is a great opportunity to get out in the field, build genuine relationships with dairy farmers and help shape the future of the supply chain across the Southwest.</p> <p>As Business Development Manager, you'll be at the sharp end of supplier development. Winning new business, growing existing relationships and helping farmers make the right decisions around genetics and calf purchasing.</p> <p>You'll have plenty of freedom to build your own n",b9c6a0178172f750,ref:1401387096,False,False
23643_225543603,Stock & Purchasing Coordinator,Sandhills,Staffordshire,Staffordshire,Staffordshire,YES,Administration,30000.00,35000.00,Annual,30000.0,35000.0,,structured,£30k–£40k,TITLE,0,,BORDERLINE,description-led family signal needs advert review,"<p><strong>Stock & Purchasing Coordinator / Operations Assistanrt<br> East Leeds - Hybrid working available after probation</strong><br> <strong> 30,000 - 35,000 Permanent Monday - Friday, 8.30am - 5pm</strong></p> <p>A well-established and growing business is looking for a <strong>Stock & Purchasing Coordinator</strong> to join its Operations team.</p> <p>This is a varied role combining stock administration, purchasing, supplier management, order processing and logistics coordination. You'll be responsible for keeping stock information accurate, monitoring orders and deliveries, resolving queries and working closely with internal teams and external suppliers.</p> <p>The role would suit an e",d759a9187ff79b1f,ref:23643_225543603,False,False
1818046,IT Project Manager - Supply Chain,Liverpool,Merseyside,Merseyside - Liverpool,Merseyside - Liverpool,YES,I.T. & Communications,400.00,400.00,Daily,,,,missing,missing/unknown,TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"<p><strong>IT Project Manager - Contract - Liverpool</strong><br /> £400/day (Outside IR35) 6 Months 3 Days Onsite</p> <p>We're recruiting on behalf of a large organisation in Liverpool for an experienced IT Project Manager to join on a 6-month contract. This is a great opportunity for a PM who enjoys leading complex, technology-focused projects and driving real change in a fast-paced environment.</p> <p><strong>The Role:</strong></p> <ul> <li>Manage projects through the full lifecycle, from initiation to delivery and closure</li> <li>Develop project plans, timelines, governance structures and resource requirements</li> <li>Manage risks, issues, dependencies and scope changes</li> <li>Lead p",5efbc6345ec14819,ref:1818046,False,False
107893393,Distribution Coordinator,Northallerton,Yorkshire,Yorkshire - North,Yorkshire - North,YES,Sales & Marketing,,,Annual,,,,missing,missing/unknown,TITLE,0,,LIKELY_IN,family title is a strong inclusion signal,"<p><b> The Rewards and Benefits on Offer: </b></p><ul><li> A full-time and permanent opportunity </li><li> A role within a technologically driven and forward-thinking manufacturing facility. </li><li> Immediate Starts available </li><li> Progression and Development opportunities </li><li> A competitive basic salary </li><li> Monday to Friday Office Hours </li><li> Company pension </li><li> Free on-site parking </li><li> Generous Holiday Entitlement </li></ul><p><b> MTrecs new client opportunity: </b></p><p> MTrec Technical are re click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?6WDmO0cNttqvKIE3x4w8r7K7Bz6qI8hoa"" width=""0"" height=""0"" />",ea7c4bda24eea19e,ref:107893393,False,False
23643_225547461,Export Compliance Manager,Dunfermline,Fife,Scotland Central - Fife,Scotland Central - Fife,YES,Banking & Financial Services,65000.00,80000.00,Annual,65000.0,80000.0,,structured,">£45,000 OUT",TITLE,0,,OUT_SALARY,"annualised salary exceeds £45,000","<p>An excellent opportunity for an experienced Trade Compliance Manager to join a global engineering organisation.</p><p>This is a stand-alone role with responsibility for export control and sanctions compliance across UK, US and international regulations. You will act as the subject matter expert, providing practical advice to teams across Engineering, Sales, Projects, Supply Chain and Customer Support.</p><p>Key responsibilities include:</p><ul><li>Managing export licence applications and associated documentation</li><li>Advising the business on export controls, sanctions and trade compliance</li><li>Developing and improving compliance processes and procedures</li><li>Supporting audits, ri",4e52f3eb0b4cd429,ref:23643_225547461,False,False
23643_225545590,Office & Logistics Assistant,Devizes,Wiltshire,Wiltshire,Wiltshire,YES,Administration,,,Annual,,,,missing,missing/unknown,TITLE,1,shipping documentation,LIKELY_IN,family title is a strong inclusion signal,"<p><strong>Office & Logistics Assistant</strong></p> <p></p> <p><strong>Devizes, Wiltshire</strong><br> </p> <p><strong>Full Time</strong></p> <p></p> <p><strong>Temp - Perm</strong><br> </p> <p><strong>Competitive Salary, depending on experience</strong></p> <p></p> <p>We are currently recruiting for an Office & Logistics Assistant to join well-established electronics repair, support and design client based in Devizes.</p> <p></p> <p>They are looking for a reliable, enthusiastic and organised <strong>Office & Logistics Assistant</strong> to support both their Administration and Logistics teams. This is a varied role where no two days are the same, making it ideal for someone who enjoys work",73e583fdbc6335a1,ref:23643_225545590,False,False
23643_224553622,Managing Director Logistics,Coventry,Warwickshire,West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,YES,Executive Positions,200000.00,275000.00,Annual,200000.0,275000.0,275000.0,structured,">£45,000 OUT",TITLE,0,,OUT_SALARY,"annualised salary exceeds £45,000","<p>Job Title: Managing Director- Logistics</p> <p><strong>Salary:</strong> £200,000 £275,000 per annum</p> <p>Our client, a leading food wholesaler is seeking an experienced and commercially driven <strong>Managing Director</strong> to lead and grow a significant part of their UK retail operation. This is a senior leadership role with full accountability for strategy, performance, and growth across stores, supply chain, commercial operations, and people.</p> <p>You will play a pivotal role in shaping the future direction of the business, driving profitable growth, operational excellence, and an outstanding customer experience in a highly competitive and fast-moving retail environment.</p> <p",c97db917be2449b1,ref:23643_224553622,False,False
23643_225223268,Junior Despatch Coordinator,Wokingham,Berkshire,Berkshire,Berkshire,YES,Administration,25000.00,26000.00,Annual,25000.0,26000.0,,structured,£25k–£30k,TITLE,0,,LIKELY_IN,family title is a strong inclusion signal,"<p>We are looking for a motivated and reliable <strong>Junior Despatch Coordinator</strong> to join a busy logistics team in Wokingham. This is an excellent opportunity for someone who enjoys a hands-on role and wants to develop a career in logistics, transport, and distribution.</p> <p>This is an office based role working 9am to 5:30pm. The salary for this role is between 25,000 to 27,00 plus OT is available.</p> <p><strong>Main responsibilities for the Junior Despatch Coordinator role are :</strong></p> <ul> <li>Loading and unloading vans and trucks</li> <li>Planning routes and scheduling deliveries for company vehicles</li> <li>Packing and preparing customer orders for dispatch</li> <li>B",68d6d10df7bba198,ref:23643_225223268,False,False
23643_225554675,Supply Chain Domain Solution Architect,Not Specified,London,London,London,YES,I.T. & Communications,100000.00,110000.00,Annual,100000.0,110000.0,,structured,">£45,000 OUT",TITLE,0,,OUT_SALARY,"annualised salary exceeds £45,000","<p><strong>Supply Chain Solution Domain Architect</strong></p><p><strong>London Hybrid (3 days onsite)</strong></p><p><strong>Competitive salary + Car allowance + bonus</strong></p><p> </p><p>TRIA are supporting a global food & beverage organisation undergoing a supply chain transformation and investing heavily in its technology and architecture capabilities.</p><p>As part of a newly established Solution Architecture function, they're seeking a Supply Chain Solution Architect to own the supply chain domain, shape the future technology roadmap and drive architecture across a complex international business.</p><p> </p><p>This is a highly visible role, partnering with senior business leaders, p",276ba237aa090d94,ref:23643_225554675,False,False
107793217,Transport Operations Lead,Larkhall,Lanarkshire,South Lanarkshire,Scotland West - Lanarkshire,YES,Executive Positions,28000.00,28000.00,Annual,28000.0,28000.0,,structured,£25k–£30k,TITLE,0,,OUT_SPECIALIST,specialist/senior title boundary,"<p><strong>About the role:</strong></p> <p>Love keeping things running smoothly? Enjoy solving problems and being the person people turn to when they need help?</p> <p>We're looking for a <strong>Transport Operations Lead</strong> to help keep our Larkhall operation moving. You'll be a key point of contact for our self-employed delivery crews, supporting them throughout the day while making sure our vehicles stay safe, compliant and ready to deliv click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?QHpHeWTcrP41QvEkRmVJ1DZrLa9eW7FBy"" width=""0"" height=""0"" />",814a741975bd7a4d,ref:107793217,False,False
23643_225557768,Air Freight Co-Ordinator,Avonmouth,Bristol,Other / Unknown,Other / Unknown,NO,Administration,,,Annual,,,,missing,missing/unknown,TITLE,3,transport administration; logistics administration; freight forwarding,LIKELY_IN,family title is a strong inclusion signal,"<p>Air Freight Coordinator</p><p><strong> 26,000 to 30,000 per annum, Permanent, 09:00am to 17:30pm M-F, BS35 Severn Beach, Bristol, 31 days Holiday, Bonus, Pension, Health plan, Eye care, On site Parking and employee shares plan</strong></p><p><strong> </strong></p><p>Expanding, forward thinking and team orientated, A multi-billion pound global freight forwarding business who are actively recruiting for a air freight coordinator to join their team. With 350 office's worldwide, this will see you working in their brand new, purpose built offices playing a vital part within their team : </p><ul><li>Tracking and maintaining smooth running of freight process. </li><li>Accurate data entry of frei",784e488160ef4ffb,ref:23643_225557768,False,False
23643_225400133,Supply Chain Administrator - FMCG,Sittingbourne,Kent,Kent,Kent,YES,Administration,28000.00,28900.00,Annual,28000.0,28900.0,,structured,£25k–£30k,TITLE,0,,LIKELY_IN,family title is a strong inclusion signal,"<p>A fantastic opportunity has become available with a unique and ever-expanding leader in the supply of quality Fresh Produce to retail customers in a key position. The position of Supply Chain<strong> Administrator</strong> will work in a fast-paced fresh produce environment, assisting the management team to ensure all aspects of the supply chain are efficient and meet the standards required.</p> <p>The position of Sales Administrator will work as a key member of the administrative team, with a focus on supporting management and managing the accurate updating of the company systems. Key duties are;</p> <p>Allocate fresh produce stock in rotation sufficient to produce customers next day/sam",b82a085b91b3a468,ref:23643_225400133,False,False
23643_225557939,AD-HOC Retails Stock Room Assistant,Bristol,Gloucestershire,Bristol & Bath,Bristol & Bath,YES,Advert / Media / Entertainment,13.45,13.45,Hourly,26227.5,26227.5,,structured,£25k–£30k,TITLE,0,,BORDERLINE,description-led family signal needs advert review,"<p><strong>Adhoc Stockroom A</strong><strong>ssistants Wanted - BRISTOL</strong></p><p>We are currently hiring <strong>Temporary Stockroom Assistants</strong> for a busy retail store in the BS1 Area BRISTOL</p><p>This is a flexible, <strong>adhoc role</strong>-ideal for individuals who are available to work <strong>occasional shifts</strong>, sometimes at short notice.</p><p><strong>About the Role</strong></p><p>You'll support the store's back-of-house operations by:</p><ul><li>Receiving and unpacking deliveries</li><li>Organising stock in the stockroom</li><li>Assisting with restocking the shop floor</li><li>Ensuring stock areas are tidy, safe, and well maintained</li></ul><p>This role is p",bab6bb5a3bd0adf9,ref:23643_225557939,False,False
107792584,Freight Business Development Manager,Selby,Yorkshire,Yorkshire - North,Yorkshire - North,YES,I.T. & Communications,45000.00,45000.00,Annual,45000.0,45000.0,,structured,"£40k–£45,000",TITLE,1,freight forwarding,OUT_SPECIALIST,specialist/senior title boundary,"<p>Our client is part of a family owned, UK business with an excellent reputation within the Freight Forwarding industry. Seeking a Business Development Manager for their North Yorkshire office, the successful candidate must have strong and proven Freight Sales experience. The main function of the role:</p><ul><li>Developing New Business, by the way of cold calling and face to face visiting click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?G%2b5YiGNoEgoBEtXm3Fbc%2bcWQOkK8wKEIn"" width=""0"" height=""0"" />",7b916a2bb379cc15,ref:107792584,False,False
23643_225562432,Senior Supply Chain and Procurement Analysis and Efficiency Manager,Not Specified,London,London,London,YES,Real Estate & Property,58000.00,70000.00,Annual,58000.0,70000.0,,structured,">£45,000 OUT",TITLE,0,,OUT_SALARY,"annualised salary exceeds £45,000","<strong> Title: Senior Analysis & Efficiency Manager </strong><br> <br><strong> Contract Type: Permanent 35 hours per week </strong><br> <br><strong> Salary: 58,000 per annum to 70,000 per annum (London weighted salary) or 50,000 per annum to 60,000 per annum (Regional salary), dependant on experience </strong><br> <br><strong> Grade: 10 </strong><br> <br><strong> Reporting Office: London, Stratford or Manchester </strong><br> <br><strong> Agile Worker: 20% - 40% of contractual hours to be worked from reporting office/working location (hybrid working) </strong><br> <br><strong> Closing Date: 16 th September </strong><br> <br><strong> Interview Dates:29 th September please note that in person",20b78e8edefe94ce,ref:23643_225562432,False,False
23643_225397700,Stock Data Administrator,Langley,Hampshire,Hampshire,Hampshire,YES,Administration,28000.00,30000.00,Annual,28000.0,30000.0,30000.0,structured,£25k–£30k,TITLE,0,,BORDERLINE,description-led family signal needs advert review,"Stock Data Administrator <p>Location: Langley<br>Salary: £28,000 £30,000 per annum<br>Job Type: Full-time, Permanent</p>Overview <p>We are recruiting on behalf of our client for a Data Stock Administrator based in Langley. This role is ideal for someone who is highly organised, comfortable working with large volumes of data, and confident using Excel and ERP systems daily.</p><p>This position involves a significant amount of data entry and system-based administrative work, requiring strong attention to detail and accuracy.</p>Key Responsibilities <ul> <li>High-volume data entry with a strong focus on accuracy</li><li>Maintaining and updating records within Excel spreadsheets</li><li>Working ",4445ee5c749887ed,ref:23643_225397700,False,False
23643_225565077,Transport & Home Delivery Manager,City,Birmingham,West Midlands - Birmingham & Solihull,West Midlands - Birmingham & Solihull,YES,Retail & Consumer Products,45000.00,50000.00,Annual,45000.0,50000.0,,structured,">£45,000 OUT",TITLE,2,transport administration; stock control,OUT_SALARY,"annualised salary exceeds £45,000","<p><strong>Transport & Home Delivery Manager Birmingham Retail / Distribution £50k + bonus</strong></p> <p>A well-established, retail business is looking for an experienced Transport & Home Delivery Manager to take ownership of its transport and customer-delivery operation from its Birmingham distribution centre.</p> <p>This is a business-critical, hands-on management role with genuine scope to make a significant impact. You'll lead the transport administration team, drivers and two-person delivery crews, taking ownership from transport planning and vehicle allocation through to the successful completion of the delivery.</p> <p>The business is going through a period of positive change, and t",c21504fa99ce04f0,ref:23643_225565077,False,False
23643_225567870,Supply Chain Planning Administrator FTC,North Scarle,Lincolnshire,Lincolnshire,Lincolnshire,YES,Administration,27864.00,27864.00,Annual,27864.0,27864.0,,structured,£25k–£30k,TITLE,0,,BORDERLINE,description-led family signal needs advert review,"<strong><em>Noble Foods Home of the Happy Egg Co.</em></strong> <p>Noble Foods is a family-owned company which began in 1920 and includes successful milling, poultry, agriculture, and consumer foods businesses. Within this, Noble Foods owns several successful brands, including the UK s biggest free-range egg brand <em>the Happy Egg co.</em>, Big & Fresh and Purely Organic.<br> <br> In a recent survey by Best Companies we were rated as one of the Top 10 companies to work for in the Food and Drink industry.</p> <strong>What are we looking for?</strong> <p><strong>About the role:</strong></p> <p>To ensure the accurate and timely processing of sales orders and effective coordination across inter",5813334c2db2be74,ref:23643_225567870,False,False
23643_225572152,Despatch Admin & Operator,City,Leeds,Yorkshire - West,Yorkshire - West,YES,Administration,,,Annual,,,,missing,missing/unknown,TITLE,1,goods in,LIKELY_IN,family title is a strong inclusion signal,"Join Our Team as a Despatch Admin Operative in Hunslet, Leeds!<br>Are you looking for an exciting opportunity to become a vital part of a dynamic team? We are seeking a dedicated and detail-oriented Despatch Admin to join us. If you're passionate about logistics and have a knack for organisation, this role is perfect for you!<br>What You'll Do:<br>As a Despatch Admin Operator, your responsibilities will include:<br><ul><li>Preparing goods and parcels for shipment, ensuring they are packed securely and correctly.</li><li>Strapping goods to pallets in accordance with our packing procedures.</li><li>Managing the movement of parcels, adhering to shop floor rules and packing/loading requirements.",e9589a57fd257513,ref:23643_225572152,False,False
23643_225527177,Export Supervisor,Sunbury-on-thames,Middlesex,Surrey,Surrey,YES,Call Centre / CustomerService,40000.00,50000.00,Annual,40000.0,50000.0,,structured,">£45,000 OUT",TITLE,1,freight forwarding,OUT_SALARY,"annualised salary exceeds £45,000","<p>Freightserve recruitment are looking for an Export Supervisor who has experience within Air, Sea and Roadfreight. The company are a busy well-established Freight Forwarder based in the Sunbury-Upon-Thames area.</p> <p>Job Requirements:-</p> <ul> <li>Experience dealing and supervising a small team of people.</li> <li>Maintaining and ensuring all relating mailboxes within the department are kept up to date.</li> <li>Ensuring all mail in answered in a timely and professional manner.</li> <li>Complete and in depth understanding of our software platform in this case Multifreight SCS and Multished</li> <li>Ensuring any given Job within Multifreight complies with the ISO requirements and relatin",9078dbc9835519b3,ref:23643_225527177,False,False
23643_225572461,Compliance Admin,Hook Norton,Oxfordshire,Oxfordshire,Oxfordshire,YES,Administration,13.44,13.44,Hourly,26208.0,26208.0,,structured,£25k–£30k,DESCRIPTION,2,goods in; goods out,BORDERLINE,description-led family signal needs advert review,"<p>Barker Ross are currently recruiting for a <strong>Compliance Administrator</strong> to join a busy logistics operation based in <strong>Banbury, OX16.</strong><br> <br>TEMP TO PERM OPPORTUNITY FOR THE RIGHT CANDIDATE<br> <br>This is an excellent opportunity for someone with strong administration skills and excellent attention to detail who is looking for a role with long term potential and the opportunity to develop their experience within compliance and Health and Safety.<br> <br>You will be supporting the site with compliance, training records, Health and Safety documentation and audits, helping to ensure company and customer standards are maintained across the operation.<br> <br><stro",0e5c83cead79ba45,ref:23643_225572461,False,False
