market,display_reference,title,decision,reason,salary_bucket,jobg8_classification,description_excerpt
Yorkshire - North,107834337,Purchase Ledger Clerk,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Accounting,"<p>Purchase Ledger Clerk</p><p><strong>Monday to Friday 8:30am5:00pm</strong></p><p>Are you someone who enjoys keeping things organised, spotting the detail others might miss, and making sure everything adds up?</p><p>Were looking for a <strong>Purchase Ledger Clerk</strong> to play an important role in keeping the accounts running smoothly click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?Dw9iAXzSqBboexgMxSeHuSJ2pDVIz308k"" width=""0"" height=""0"" />"
Yorkshire - North,107903996,Financial Controller,OUT_SALARY,"annualised salary exceeds £45,000",">£45,000 OUT",Accounting,"<p><strong>Financial Controller</strong></p><p><strong>Permanent </strong><strong>SW London Hybrid Working</strong></p><p><strong>£70,000 - £90,000 + Bonus + Excellent Benefits</strong></p><p>We're partnering with a well-known consumer business to recruit an experienced Financial Controller into a finance leadership role.</p><p>This is an opportunity to join a fast-paced, multi-site business undergoing continued growth and transformation click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?Yic9job4bS9TqKQCts0t4wSDC%2fQzw2Muc"" width=""0"" height=""0"" />"
Bristol & Bath,107794709,Finance Analyst,OUT_SALARY,"annualised salary exceeds £45,000",">£45,000 OUT",Banking & Financial Services,"<p>Robert Half Finance and Accounting are currently looking to recruit a Finance Analyst to join an exciting Professional Services company experiencing huge growth based in Bristol. For the right person the client is offering a very competitive:</p><p><strong>£55,000 - £60,000 plus bonus and wider benefits package</strong></p><p><strong>Role responsibilities will include but not limited to:</strong></p><ul><li>Support daily, monthly and quarterly finance oper click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?UzhMt9n%2bTsSaEBu0%2bmppw0Xh0Jfv3xv%2fm"" width=""0"" height=""0"" />"
Bristol & Bath,23643_225456677,Invoicing Administrator,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Administration,"<p><strong>Why work for us? </strong></p> <p>Established in 1998 Lancer Scott offers renowned high-quality construction projects and facilities management services. Based in the heart of Bristol we have enjoyed success and significant growth, particularly in the last four years with turnover increasing from £56 million in 2020 to £125 million in 2025.</p> <p>To ensure our business remains fully supported we are investing into our people strategy and infrastructure to give our employees the tools to perform to the best of their ability. If you would like to join a rapidly expanding business that can offer up good opportunities for career development and professional personal growth, you shoul"
Bristol & Bath,23643_225467454,Finance Manager,OUT_SPECIALIST,specialist/senior title boundary,missing/unknown,Banking & Financial Services,"<p><strong>Finance Manager - Interim </strong></p><p><strong>Rate: </strong> 400 - 500 per day</p><p><strong>Location: </strong>Southwest - hybrid working - <strong>minimum 3 days per week on site</strong></p><p><strong>Contract: </strong>6 months +</p><p>Sellick Partnership is pleased to be supporting a Local Government organisation based in the Southwest, who are looking for an experienced Finance Manager for an initial 6 month contract.</p><p> </p><p><strong> This is a hybrid role - you will be required to work on site at least 3 days per week. </strong></p><p> </p><p> </p><p><strong>Key responsibilities of the Finance Manager will include: </strong></p><ul><li>Provide strategic financial"
Bristol & Bath,23643_225467448,Finance Manager (Technical),OUT_SPECIALIST,specialist/senior title boundary,missing/unknown,Banking & Financial Services,<p><strong>Finance Manager (Technical) - Interim </strong></p><p><strong>Rate: </strong> 400 - 500 per day</p><p><strong>Location: </strong>Southwest - hybrid working - <strong>minimum 3 days per week on site</strong></p><p><strong>Contract: </strong>6 months +</p><p>Sellick Partnership is happy to be supporting a Local Government client in their search for a Finance Manager (Technical) for an initial 6 month contract. </p><p><strong> This is a hybrid role - you will be required to work on site at least 3 days per week. </strong></p><p><strong>Key responsibilities of the Finance Manager (Technical) will include:</strong></p><ul><li>Assist in the preparation of the Council's annual Statement 
Bristol & Bath,23643_225466990,Finance Systems Accountant,OUT_SPECIALIST,specialist/senior title boundary,missing/unknown,Legal,"<p>Are you a qualified or part-qualified accountant who enjoys working with finance, systems, data and technology?</p><p>We're working with a leading law firm to recruit a Finance Systems Accountant to join its Finance Systems team. This is an exciting opportunity to play a key role in the continued development and digital transformation of the firm's finance function.</p><p>The role would suit someone who enjoys looking beyond traditional accounting and is motivated by improving systems, processes and data to make finance work smarter and more efficiently.</p><p>Reporting to the Senior Finance Systems Manager, you'll work closely with colleagues across Finance and Technology, as well as sta"
Bristol & Bath,23643_225467050,Credit Control Team Leader,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,Legal,"<p>Are you an experienced credit control or revenue professional ready to take the next step into a team leadership role?</p><p>We're working with a leading law firm to recruit a Credit Control Team Leader to join its Revenue and Billing team. This is a great opportunity for an experienced credit control professional to combine hands-on working capital management with people leadership, stakeholder management and process improvement.</p><p>You'll take ownership of a portfolio of departments and key clients, working closely with Partners and lawyers to drive cash collection, manage debt and minimise financial exposure. Alongside this, you'll provide leadership, coaching and support to members"
Bristol & Bath,107797664,Commercial Finance Business Partner,OUT_SALARY,"annualised salary exceeds £45,000",">£45,000 OUT",Banking & Financial Services,"<p> <p> <p> <p> <p> <p> <p> <p><strong>Commercial Finance Business Partner</strong> <p>Core3 is delighted to be working with a growing organisation in Bristol to recruit a Commercial Finance Business Partner to join its finance team.</p>Why join our client <p>This is an excellent opportunity for a commercially minded accountant looking to use their technical expertise in a business-facing role click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?Dw9iAXzSqBYYAOzCM3WYWwPilafV%2b4eLk"" width=""0"" height=""0"" />"
Bristol & Bath,107792942,Credit Controller,LIKELY_IN,family title is a strong inclusion signal,£25k–£30k,Accounting,"<p>Robert Half have partnered with a longstanding client based in North-East Bristol to support with the recruitment for a Credit Controller into their friendly and supportive team. This opportunity is a 12 month fixed term contract with hybrid working and free parking available. </p><p><strong>Job Title:</strong> Credit Controller</p><p><strong>Start Date:</strong> ASAP/Can wait for notice period</p><p><strong>Duration:</strong> 12 Month Fixed Term Contract</p><p><strong>Location:</strong> Nor click apply for full job details<img src=""https://www.jobg8.com/Tracking.aspx?mDcEDJmYTbyeRDh6Ftz2LLe7FKnSulJMt"" width=""0"" height=""0"" />"
