market,display_reference,title,decision,reason,salary_bucket,jobg8_classification,description_excerpt
London,1692867,Onsite Helpdesk Engineer - Japanese Speaker,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,I.T. & Communications,"<p><strong>Ref</strong>: 23514</p> <p><strong>Job Title</strong>: Onsite Helpdesk Engineer - Japanese Speaker</p> <p><strong>The Skills You'll Need</strong>: Japanese / English, 1st & 2nd Line IT Support, Network Troubleshooting</p> <p><strong>Your New Salary</strong>: Up to £39,000 + commuting expenses </p> <p><strong>Location</strong>: London</p> <p><strong>Contract</strong>: 1-year Fixed Term Contract (potential extension)</p> <p><strong>Hybrid</strong>: No - Onsite</p> <p><strong>Start</strong>: ASAP</p> <p><strong>Working hours</strong>: Monday-Friday, 8:00-16:00 / 9:00-17:00</p> <p><strong>What You'll be Doing</strong>:</p> <ul> <li>Provide onsite 1st and 2nd line IT support via face-t"
London,1713489,Spanish speaking Technical Support,BORDERLINE,title needs advert-context review,missing/unknown,I.T. & Communications,"<p>Do you have a genuine passion for <strong>Electronics</strong>, <strong>Technology</strong> and <strong>IT</strong>? Do you have a good understanding of electrical components and circuits, and enjoy <strong>diagnosing</strong> and <strong>fixing</strong> problems with electrical or electro-mechanical devices?</p> <p></p> <p>Are you <strong>fluent in Spanish</strong>, technically minded, and confident dealing with customers?</p> <p></p> <p>If you enjoy getting to the bottom of technical problems, finding solutions and helping people along the way, <strong>we'd love to hear from you!</strong></p> <p></p> <p><strong>Spanish-speaking Helpdesk support - the role:</strong></p> <p></p> <p>Contra"
London,1800115,2nd Line Corporate Service Desk IT Technician,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,I.T. & Communications,"<p><strong>Corporate Service Desk IT Technician</strong></p> <p>Looking for an experienced 2nd Line Support person to work for an MSP based on a client site supporting the head office and management team.</p> <p>This is an office based position in Tolworth / Surbiton KT5. Please check this as suitable daily commute before applying.</p> <p>To apply you must demonstrate previous 2nd line support experience for medium / large business including AD, O365 and hardware skills.</p> <p>Purpose of Role</p> <ul> <li>To provide dedicated onsite technical IT support to the customer headquarters staff as a member of the onsite Corporate Service Desk (CSD) team and ensure excellent IT services and custome"
London,23643_225533177,IT Support Officer,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,Accounting,"Your New Company <p>You will be joining an established financial services organisation based in London. This is a great opportunity for an early-career IT professional who wants broad technical exposure and the chance to develop within a hands-on technology environment.</p>What you will do <p>You will provide day-to-day technical support to colleagues, helping to resolve hardware, software and connectivity issues both in person and remotely. Alongside user support, you will help manage devices and accounts, support joiners and leavers, and assist with the ongoing maintenance of the wider IT environment.</p><p>The role will give you exposure to Microsoft 365, Azure, Intune and Entra ID, as we"
London,23643_225538102,Help desk Administrator,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,Administration,"<p><strong>Help Desk Administrator</strong></p><p><strong> </strong></p><p><strong>Working Hours</strong>: Monday to Friday hours 08:00 AM - 5:00 PM and a 4:00 PM finish on Fridays!</p><p><strong> </strong></p><p><strong>Salary</strong>: around 31,000 per annum</p><p> </p><p><strong>Location: </strong>Elephant and Castle</p><p> </p><p><strong>Benefits Package</strong>: Potential Christmas bonus, Enjoy 20 days of annual leave plus 8 bank holidays, with the option to join</p><p>the company pension scheme after your probation period</p><p> </p><p>London Bridge Office Angels are looking for a confident Help desk Administrator to join a successful Cleaning Services company based near Elephant and"
London,1815105,2nd Line Corporate Service Desk IT Technician,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,I.T. & Communications,"<p><strong>Corporate Service Desk IT Technician</strong></p> <p>Looking for an experienced 2nd Line Support person to work for an MSP based on a client site supporting the head office and management team.</p> <p>This role is offered as a 3 months contract on 30 hours per week, working 4 days Mon - Thursday 0800 - 16:30. It's a pro rate of £35000 PAYE contract on £17.95 p/h + £2.17 holiday pay (for 30 hours it works out at around £28000 per year).</p> <p>This is an office based position in Kingston KT1. Please check this as suitable daily commute before applying.</p> <p>To apply you must demonstrate previous 2nd line support experience for medium / large business including AD, O365 and hardwa"
London,1806783,"Support Analyst, 2nd / 3rd Line Support - Financial / Banking",BORDERLINE,title needs advert-context review,missing/unknown,I.T. & Communications,"<p><strong>Support Analyst, 2nd / 3rd Line Support - Financial / Banking - Linux, Python, SQL.</strong></p> <p>An exciting and challenging role providing 2nd / 3rd Line Support / Systems Administration for a primary Trading Application in a Linux environment,</p> <p>candidates must have in depth Linux experience with strong Database / SQL and Scripting skills.</p> <p>Candidates will have previous Banking / Financial experience with some Market Data / Trade Floor Support and experience with FIX protocol and client onboarding.</p> <p>Candidates are required to have a breadth and depth of Technical knowledge along with an unrivalled troubleshooting aptitude as you'll take ownership of incidents"
London,1805354,ICT Technician,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,I.T. & Communications,"<p><b>?</b><br /><strong>About Us</strong> </p><p>Harris Invictus Academy is a vibrant, happy and successful school at the heart of the community. We know that our young people have incredible strengths and talents which we nurture. We encourage them to flourish and grow into excellent ambassadors for the Academy and for our community. The Academy has a roll of 1,000 students, including a thriving Sixth Form, and whilst we were only founded in 2014 we are rated 'outstanding' by Ofsted and oversubscribed by parents .</p> <p>We are part of the Harris Federation which is one of the highest performing Trusts in the country.</p> <p>We celebrate our differences, enjoying the benefits of having a t"
London,1820106,IT Technician - Onsite,LIKELY_IN,family title is a strong inclusion signal,£30k–£40k,I.T. & Communications,"<p><strong>IT Onsite Technician</strong></p> <ul> <li>Location: London</li> <li>Job Type: Full-time, Onsite</li> <li>Hours: 35 per week</li> <li>Salary £35,000 - £45,000</li> </ul> <p>We are seeking a dedicated IT Onsite Technician to join our London based clients growing tech team. In this role, you will be responsible for installing, maintaining, and repairing computer systems and equipment. You will also provide routine technical support and perform checks to assist the wider teams, ensuring the continuous availability of the IT network, infrastructure, and equipment </p> <p><strong>Day-to-day of the role:</strong></p> <ul> <li>Responsible for asset control and stock ordering of devices a"
London,1817668,2nd Line Support Engineer,LIKELY_IN,family title is a strong inclusion signal,missing/unknown,I.T. & Communications,"<p><strong>Service Desk Engineer </strong></p> <p>We are looking for a skilled Service Desk Engineer to join a growing Managed Services team. This is a great opportunity to work with modern cloud technologies while supporting a diverse client base.</p> <p><strong>Role Overview</strong></p> <ul> <li>Resolve escalated IT issues across desktop, cloud, and infrastructure</li> <li>Support Microsoft 365, Active Directory, and networking environments</li> <li>Troubleshoot hardware, software, and connectivity issues</li> <li>Collaborate with 3rd line teams</li> <li>Maintain documentation and deliver excellent customer service</li> </ul> <p><strong>Requirements</strong></p> <ul> <li>IT support experi"
