display_reference,title,current_decision,current_reason,jobg8_classification,ontap_region,salary_minimum_raw,salary_maximum_raw,salary_period,annualised_maximum_estimate,hard_salary_out_over_50k,description_evidence,manual_boundary_decision,manual_boundary_note
23643_225235139,Property Litigation Solicitor,OUT_SALARY,"annualised salary exceeds £50,000",Legal,London,50000.00,70000.00,Annual,70000.0,YES,"Overview An established, partner-led London law firm is seeking a Property Litigation Solicitor to join its growing team. The firm advises a diverse client base across multiple sectors, both in the UK and internationally, and is known for delivering a tailored, high-quality service aligned to clients' strategic objectives. The Role This is an excellent opportunity to join a well-regarded Property Litigation team, working on a broad mix of commercial and residential matters. The successful candidate will play a key role in delivering high-quality legal services while also contributing to client relationship management and business development initiatives. You will act for a range of clients including developers, investors, landlords and tenants, and will be encouraged to take ownership of your work while benefiting from close supervision and support. Key Responsibilities Managing a varied caseload of property litigation matters (with appropriate supervision) Advising on commercial and residential landlord and tenant disputes Handling matters involving development agreements, property insolvency, rights of way, adverse possession and restrictive covenants Drafting contractual and sta…",,
23643_225237134,EXPERIENCED PROBATE MANAGER,BORDERLINE,description-led IT support signal needs advert review,Legal,Sussex,40000.00,50000.00,Annual,50000.0,NO,"This excellent well established and friendly Law firm based in Heathfield, East Sussex are recruiting a Experienced Probate Manager. The role requires: 1) Part Cliex Qualified Probate Practitioner or Licenced Probate Practitioner 2) Experience of running a case load, whilst you will be supervised, the position is for a stand-alone fee earner. 3) Dealing with Wills, Trusts LPA's and some Court of Protection. In return the company are offering and excellent salary, career progression and the knowledge you are working for a strong well established Law firm. To apply please send your CV to Jan Hanley at Staff Recruit.",,
23643_225350824,Family Lawyer (Legal Aid experience),OUT_SALARY,"annualised salary exceeds £50,000",Legal,Yorkshire - West,40000.00,60000.00,Annual,60000.0,YES,"Job title: Family Lawyer Location: Bradford Salary: Competitive Experience: 2+ years PQE Working arrangement: Full-time, permanent, Mon-Fri with hybrid working Job description: An exciting opportunity has arisen for a Family Lawyer to join a specialist solicitors' practice with offices in Bradford and Keighley. The firm provides expert legal advice to families and individuals across a broad range of family law matters, including child abduction, cohabitation agreements and prenuptial agreements, divorce and financial settlements, domestic abuse, children matters, forced marriage, and social services. In this role, the successful candidate will build and manage their own caseload, advising both private and legally aided clients on all aspects of family law. The position is ideally suited to someone with an interest in handling a broad range of private family law matters. The successful candidate will benefit from dedicated secretarial support, use of the firm's case management system, and ongoing training and professional development opportunities. You will be organised and approach tasks with common sense, dealing with challenging situations in a calm but effective manner. You will…",,
23643_225466512,Residential Property Paralegal,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,30000.00,32000.00,Annual,32000.0,NO,"Our client, an established law firm, is looking for a paralegal with solid experience in residential conveyancing to support a team of fee earners. Duties will include drafting and reviewing contracts, conducting title searches, communicating with clients, solicitors and third parties. The successful candidate will have previous legal property experience and be familiar with preparing and submitting land registry forms and searches. The successful candidate will have good IT literacy, be familiar with legal property work and be able to work as part of a team. This is an excellent opportunity to join a leading law firm and to use and develop experience in the legal property field.",,
23643_225467760,Legal Admin & PA FTC,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,35000.00,40000.00,Annual,40000.0,NO,"Legal Admin & PA - Maternity Cover Salary: 35k - 40k Location: Kingston, no parking but very close to all public transport links Contract Type: Fixed Term Contract 10 to 12 months, possible extension Working Pattern: Full time, 9am to 5.30pm, finish at 5pm on Fridays - will offer hybrid working after training Start date: Ideally mid-September for handover Are you an experienced Legal Administrator or PA with experience of using LEAP legal software? Our client is seeking an enthusiastic and organised Legal Assistant to cover a very valued team member whilst on maternity leave. If you're looking to contribute to a supportive team in a fast-paced environment, we want to hear from you! Key Responsibilities: Archiving Files: Occasionally manage file archiving to maintain organisation. Office Supplies: Handle orders for office supplies to keep everything running smoothly. Communication: Answer phone calls and take messages, ensuring clients feel valued and heard. Meeting Management: Attend online meetings to take attendance notes and book meetings. Billing Support: Assist with billing to ensure timely and accurate invoicing. Diary Management: Maintain calendars, diary management for cour…",,
23643_225469113,Legal Secretary,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,28000.00,32000.00,Annual,32000.0,NO,"Birchrose Associates is proud to be representing a highly regarded law firm based in London, which is seeking a Legal Secretary to join its property team. The Firm Our client, a respected and well-established law firm based in London, is looking for a Legal Secretary to provide high-quality support within its busy Property team. The Opportunity The successful Legal Secretary will provide administrative and secretarial support to a team of fee earners within a busy Property team. This is the perfect opportunity for a proactive Junior Legal PA / Secretary looking to take the next step in their career and develop within a highly regarded law firm. Duties to include: Provide comprehensive legal secretarial support, including document production, file management, billing, file opening and closing, and general administrative support Manage diaries, meetings, travel arrangements, client communications and internal coordination to ensure an efficient service for the team Support property transactions by assisting with post-completion matters, including Stamp Duty Land Tax returns, Land Registry applications, notices of transfer and completion payments Handle Land Registry processes, respon…",,
23643_225470504,RTA Legal Secretary,LIKELY_IN,ordinary workplace IT support title signal,Legal,London,24000.00,28000.00,Annual,28000.0,NO,"My client is a top 200 law firm, recruiting for an experienced and highly organised Legal Secretary to join a busy and well-established Road Traffic Accidents (RTA) team within a reputable law firm. The Role This is a varied and hands-on position, offering exposure to a wide range of tasks. Alongside traditional secretarial duties such as typing and file management, you will play a key role in preparing court documentation, liaising with clients, and coordinating meetings and conferences. While the firm is moving towards a paperless system, some physical filing duties will still be required. Key Responsibilities Provide support to multiple RTA Lawyers as part of a collaborative Legal Secretary pool Prepare legal documents, correspondence, pleadings, and court bundles Assist with photocopying, scanning, and document management (with admin support where required) Handle incoming and outgoing calls in a professional and client-focused manner Arrange meetings, appointments, and conferences with clients, Counsel, and internal stakeholders Support colleagues across the secretarial and administrative teams when needed Update and maintain records on the case management system About You Pro…",,
23643_211841843,FULL OR PART TIME RESIDENTIAL CONVEYANCING FEE EARNER,OUT_SALARY,"annualised salary exceeds £50,000",Legal,Sussex,40000.00,55000.00,Annual,55000.0,YES,"This friendly and very busy Law firm based in Hastings, East Sussex are looking to recruit either full or part time, hours and days to suit, Residential Conveyancing Fee Earner, to take on a busy case load. The company are happy to recruit a qualified Solicitor or ILEX or a highly experienced non qualified conveyancer. In return the company are offering an excellent salary and benefits, working for a family feel firm and full admin back up available. To apply please submit your CV to Jan Hanley at Staff Recruit",,
23643_225116728,Conveyancing Legal Secretary,LIKELY_IN,ordinary workplace IT support title signal,Legal,Essex,25000.00,30000.00,Annual,30000.0,NO,"Legal Assistant / Secretary Residential Conveyancing Southend-on-Sea Full-Time We are seeking an experienced Legal Assistant / Secretary to join our busy Residential Conveyancing Department based at our Head Office in Southend-on-Sea. This is a full-time position, working Monday to Friday from 9:00 am to 5:30 pm, with one hour for lunch. The successful candidate will have a minimum of two years' relevant experience within residential conveyancing and will be confident working within a fast-paced and demanding environment. You will be a strong team player with excellent attention to detail and a solid understanding of the residential conveyancing process. Key Requirements: Minimum of two years' experience in residential conveyancing Strong organisational and communication skills Ability to work efficiently within a busy team environment Excellent attention to detail and time management skills Good working knowledge of the residential conveyancing process Full training will be provided on the firm's Case Management Systems.",,
23643_225471384,Claims Handler,BORDERLINE,support title needs advert-context review,Call Centre / CustomerService,Staffordshire,24000.00,26000.00,Annual,26000.0,NO,"Would you make a fantastic Claims HandlerAre you looking for a fast paced role dealing with multiple customers , managing claims cases and dealing with information on the phone and on emails Are you looking for a role where you could develop your claims handling skills while demonstrating your customer service , proactive work ethic and professional approach Kingscroft have been asked to recruit for a Claims Handler to work for a well-established and successful claims handling business. The role will be working in a specialist claims handling team looking after a product category of customer claims. As the successful candidate you will be fully trained and your skills developed on claims handling workflow and insurance practices. Our client is looking for communication , drive and attitude and can develop the rest. Your duties will involve: Working in a sector specialist call handling team dealing with insurance claims Receiving incoming calls and recording all the relevant information on the insurance claim Managing multiple claims at different stages of completion Exploring the scope of the claim fully with the policy holder Completing all administration and follow up actions to …",,
