month,region,region_scope,category,existing_live_page,recommendation,recommendation_reason,total_jobs,feed_days,days_seen,seen_ratio_pct,average_daily_count,minimum_daily_count,maximum_daily_count,days_with_6_plus,days_with_12_plus,first_five_day_average,last_five_day_average,direction_change_pct,decline_type,decline_explanation,unique_title_count,unique_company_count,unique_location_count,top_titles,top_companies,top_1_company_share_pct,top_2_company_share_pct,concentration_risk,credible_slice,manual_review_pilot
2026-07,Hampshire,lookup_region,teaching_sen_learning_support,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,2,14,14,100.0,1.36,1,2,0,0,1.0,1.8,80.0,no_meaningful_decline,,2,2,2,Special Needs Assistant / SEN Teaching Assistant (13); Healthcare/Learning Support Assistant (6),AWD Online (13); Brockenhurst College (6),68.4,100.0,HIGH,False,False
2026-07,Worcestershire,lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,2,14,12,85.7,1.36,0,2,0,0,2.0,1.0,-50.0,mainly_large_campaigns_disappearing,"Top early advertiser(s) MI Search Ltd, Davies Group account for approximately 100% of the measured decline.",2,2,2,"Platform Administrator Apprentice (12); Financial Planning Administrator - Broadway, near Evesham (hybrid) - Basic to £30k + generous bonus (7)",Davies Group (12); MI Search Ltd (7),63.2,100.0,HIGH,False,False
2026-07,East Midlands,lookup_region,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,2,14,14,100.0,1.36,1,2,0,0,1.8,1.0,-44.4,mainly_large_campaigns_disappearing,"Top early advertiser(s) DW HOMECARE LTD T/A My Homecare Derby, Help At Home Limited account for approximately 100% of the measured decline.",2,2,2,Community Healthcare Assistant (14); Care Assistant (5),DW HOMECARE LTD T/A My Homecare Derby (14); Help At Home Limited (5),73.7,100.0,HIGH,False,False
2026-07,Devon,lookup_region,broader_office_administration,no,WATCH,insufficient persistence; average below 6 jobs/day; mainly large campaigns disappearing,7,14,10,71.4,1.36,0,5,0,0,2.8,0.6,-78.6,mainly_large_campaigns_disappearing,"Top early advertiser(s) Front Row Recruitment Ltd, Reed account for approximately 82% of the measured decline.",6,6,3,Financial Planning Administrator (7); Ifa Administrator - hybrid working (4); Service Desk Administrator - Audio Visual (3); Laundry Administrator (Temp to Perm) (3); Financial Services Administrator (1); Administrator Financial Services - Exeter (1),Front Row Recruitment Ltd (7); Reed (4); Candidate Source Ltd (3); CDS Labour (Group UK) Ltd (3); mbf. (1); tPS Recruitment (1),36.8,57.9,MEDIUM,False,False
2026-07,Lancashire - Blackpool & Fylde,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,4,14,9,64.3,1.36,0,3,0,0,2.6,0.2,-92.3,mainly_large_campaigns_disappearing,"Top early advertiser(s) Guardian Homecare Limited, Alcedo Care account for approximately 100% of the measured decline.",3,3,2,Care Assistant (10); Complex Care Assistant (8); Care Worker (1),Guardian Homecare Limited (10); Alcedo Care (8); Meridian Health and Social Care (1),52.6,94.7,HIGH,False,False
2026-07,Suffolk,lookup_region,residential_childcare_children_support,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,5,14,10,71.4,1.36,0,3,0,0,1.8,0.2,-88.9,mainly_large_campaigns_disappearing,"Top early advertiser(s) Candidate Source, Candidate Source Ltd account for approximately 88% of the measured decline.",4,4,3,Residential Support Worker - Children's Home (11); Residential Childcare Support Worker (Sessional/Casual) (5); Waking Night Residential Childcare Support Worker (2); Children's Support Worker (1),Candidate Source (9); Area Camden (7); Candidate Source Ltd (2); Nurse Plus (1),47.4,84.2,HIGH,False,False
2026-07,Greater Manchester - North,lookup_region,broader_office_administration,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration; mainly large campaigns disappearing,3,14,14,100.0,1.14,1,3,0,0,1.4,1.0,-28.6,mainly_large_campaigns_disappearing,"Top early advertiser(s) Axon Moore Group Ltd, NJR Recruitment account for approximately 100% of the measured decline.",3,2,2,Billing Administrator (14); Financial Adviser Administrator (1); Trainee Financial Planning Administrator (1),Axon Moore Group Ltd (14); NJR Recruitment (2),87.5,100.0,HIGH,False,False
2026-07,Oxfordshire,lookup_region,residential_childcare_children_support,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,3,14,8,57.1,1.07,0,3,0,0,0.0,2.4,0.0,no_meaningful_decline,,3,2,3,Youth Support Worker - Witney (8); Youth Support Worker - Wantage (5); Children's Residential Support Worker (2),Academics (13); Witherslack Group (2),86.7,100.0,HIGH,False,False
2026-07,Cambridgeshire,lookup_region,care_assistant_healthcare_assistant,no,WATCH,insufficient persistence; average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,4,14,8,57.1,1.07,0,2,0,0,0.6,2.0,233.3,no_meaningful_decline,,3,3,3,Care assistant/ Support worker (12); Care Assistant - Care Home (2); Care Assistant (1),PROXYCARE LIMITED (12); Barchester Healthcare (2); Alina Homecare (1),80.0,93.3,HIGH,False,False
2026-07,Cumbria - North,lookup_region,care_assistant_healthcare_assistant,no,WATCH,average below 6 jobs/day; limited title/company/location breadth; severe advertiser concentration,2,14,14,100.0,1.07,1,2,0,0,1.0,1.2,20.0,no_meaningful_decline,,2,2,1,Complex care assistant (14); Care Worker (1),Routes Healthcare (North) (14); Meridian Health and Social Care (1),93.3,100.0,HIGH,False,False
