decision,job_id,title,company,location,source,automatic_decision,effective_decision,reason,matched_rule,city_key
review,jobg8-1882063,Part-time Finance Assistant,KCR Solutions - Agency - Permanent,Tyne And Wear,JobG8,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
review,jobg8-1897045,Payroll Administrator,Sopra Steria - Agency - Permanent,Tyne And Wear,JobG8,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
review,jobg8-1933966,Payroll and Credit Controller,Spear-heads - Agency - Permanent,Durham,JobG8,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
review,jobg8-1958584,Payroll Assistant,Portfolio Payroll - Agency - Permanent,Tyne And Wear,JobG8,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
review,nejobs-301543,Project Administrator,Age UK County Durham,Age UK County Durham,NEJobs,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
review,jobg8-1916042,Purchase Ledger Clerk,Adecco - Agency - Permanent,Tyne And Wear,JobG8,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
review,nhs-5598890,Receptionist / Administrator,Glenpark Medical Practice,"Gateshead, NE11 9FJ, GATESHEAD, NE8 2PQ",NHS Jobs,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
review,jobg8-1884416,Remote Conveyancing Paralegal,LEGAL TALENT PARTNERS LIMITED - Agency - Permanent,Tyne And Wear,JobG8,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
review,teaching-vacancies-school-support-roles-supervisory-assistant-administrative-assistant,School Support Roles - Supervisory Assistant & Administrative Assistant,St Peter's Church of England Primary School,Wallsend,Teaching Vacancies,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
review,jobg8-1869864,Social Media Manager,Ronald James - Agency - Permanent,County Durham,JobG8,review,review,No exact Chester Le Street workplace matched; local geographic review is required.,fallback,chester-le-street-service-administrator-jobs
