title_key,classification,hc_tier
lims project manager,HARD_PASS,
lung cancer screening lcs senior project manager,HARD_PASS,
lung cancer screening programme manager,HARD_PASS,
managing director sussex pathology network spn,HARD_PASS,
medical director,HARD_PASS,
medical education manager,HARD_PASS,
medical governance manager,HARD_PASS,
medical hr advisory manager,HARD_PASS,
medicines manager central lakes,HARD_PASS,
medicines optimisation manager,HARD_PASS,
mental health act team manager,HARD_PASS,
